Transaction Date,Transaction Time,Time Zone,Transaction ID,Description,Credit Amount,Debit Amount,Currency,Transfer Amount,Transfer Amount Currency,Status,Running Balance,Additional Description,Store Name,Source,Target,Reference ID
03/31/2026,15:49:24,UTC,984040895,Card charge (DLO*DIDI),,6.83,USD,,,Completed,4046.12,,,USD balance,DLO*DIDI,
03/31/2026,15:49:24,UTC,984040899,Card charge (EMOVA SUBTE),,1.08,USD,,,Completed,4052.95,,,USD balance,EMOVA SUBTE,
03/31/2026,15:49:24,UTC,984040897,Card charge (EMOVA SUBTE),,0.86,USD,,,Completed,4054.03,,,USD balance,EMOVA SUBTE,
03/31/2026,15:49:24,UTC,984040891,Card charge (EMOVA SUBTE),,0.86,USD,,,Completed,4054.89,,,USD balance,EMOVA SUBTE,
03/31/2026,15:49:24,UTC,984040887,Card charge (EMOVA SUBTE),,0.86,USD,,,Completed,4055.75,,,USD balance,EMOVA SUBTE,
03/31/2026,15:49:23,UTC,984040881,Card charge (DLO*DIDI),,3.26,USD,,,Completed,4056.61,,,USD balance,DLO*DIDI,
03/31/2026,15:49:23,UTC,984040875,Card charge (EMOVA SUBTE),,0.86,USD,,,Completed,4059.87,,,USD balance,EMOVA SUBTE,
03/31/2026,15:49:23,UTC,984040860,Card charge (EMOVA SUBTE),,0.86,USD,,,Completed,4060.73,,,USD balance,EMOVA SUBTE,
03/31/2026,15:49:23,UTC,984040829,Card charge (EMOVA SUBTE),,0.86,USD,,,Completed,4061.59,,,USD balance,EMOVA SUBTE,
03/31/2026,15:41:08,UTC,984026194,Card charge (SUBE VIAJES),,0.67,USD,,,Completed,4062.45,,,USD balance,SUBE VIAJES,
03/31/2026,15:41:08,UTC,984026216,Card charge (SUBE VIAJES),,0.62,USD,,,Completed,4063.12,,,USD balance,SUBE VIAJES,
03/30/2026,10:20:29,UTC,983658999,Card charge (MERPAGO*MOVISAPPMOAPPM),,14.33,USD,,,Completed,4063.74,,,Fit 1 (USD balance),MERPAGO*MOVISAPPMOAPPM,
03/30/2026,10:18:57,UTC,983657498,Card charge (RAPPI),,26.27,USD,,,Completed,4078.07,,,USD balance,RAPPI,
03/30/2026,10:18:57,UTC,983657496,Card charge (RAPPI),,5.24,USD,,,Completed,4104.34,,,USD balance,RAPPI,
03/30/2026,10:18:57,UTC,983657486,Card charge (PROPINA*RAPPI),,2.71,USD,,,Completed,4109.58,,,USD balance,PROPINA*RAPPI,
03/30/2026,10:18:57,UTC,983657478,Card charge (EMOVA SUBTE),,1.08,USD,,,Completed,4112.29,,,USD balance,EMOVA SUBTE,
03/30/2026,10:18:57,UTC,983657465,Card charge (EMOVA SUBTE),,1.08,USD,,,Completed,4113.37,,,USD balance,EMOVA SUBTE,
03/30/2026,10:18:57,UTC,983657457,Card charge (EMOVA SUBTE),,1.08,USD,,,Completed,4114.45,,,USD balance,EMOVA SUBTE,
03/30/2026,10:18:57,UTC,983657441,Card charge (EMOVA SUBTE),,1.08,USD,,,Completed,4115.53,,,USD balance,EMOVA SUBTE,
03/30/2026,10:18:57,UTC,983657425,Card charge (EMOVA SUBTE),,1.08,USD,,,Completed,4116.61,,,USD balance,EMOVA SUBTE,
03/30/2026,10:18:57,UTC,983657376,Card charge (EMOVA SUBTE),,1.08,USD,,,Completed,4117.69,,,USD balance,EMOVA SUBTE,
03/30/2026,10:18:57,UTC,983657490,Card charge (PROPINA*RAPPI),,0.55,USD,,,Completed,4118.77,,,USD balance,PROPINA*RAPPI,
03/30/2026,03:32:22,UTC,983543067,Card charge (SUBE VIAJES),,0.61,USD,,,Completed,4119.32,,,USD balance,SUBE VIAJES,
